"City","Country","State","Region","Name","lat","lon"
"Atlanta","United States","GA","North America","Atlanta R User's Group",33.76,-84.42
"Austin","United States","TX","North America","Austin R User Group",30.31,-97.75
"Berkeley","United States","CA","North America","The Berkeley R Language Beginner Study Group",37.87,-122.27
"Boston","United States","MA","North America","Greater Boston useR Group",42.35843,-71.05977
"Burlington","United States","VT","North America","Burlington R Users",44.47588,-73.21207
"Chicago","United States","IL","North America","Chicago R User's Group",41.87811,-87.6298
"Cleveland","United States","OH","North America","Cleveland UseR Group",41.48,-81.68
"Dallas","United States","TX","North America","Dallas R Users Group",32.78014,-96.80045
"Davis","United States","CA","North America","Davis R users' Group",38.55,-121.74
"Dayton","United States","OH","North America","CinDay RUG",39.78,-84.2
"Denver","United States","Co","North America","Denver R User Group",39.73757,-104.98472
"Edmonton","Canada","","North America","Edmonton R User Group",53.57,-113.54
"Gainesville","United States","FL","North America","R Users Group Gainesville",29.67,-82.34
"Houston","United States","TX","North America","Houston R Users Group",29.76019,-95.36939
"Indianapolis","United States","IN","North America","Indy useR Group",39.78,-86.15
"Kansas City","United States","KS","North America","Kansas City R Users Group",39.09973,-94.57857
"Knoxville","United States","TN","North America","Knoxville R Users Group (KRUG)",35.97,-83.95
"Los Angeles","United States","CA","North America","Los Angeles Area R Users Group",34.05223,-118.24368
"Madison","United States","WI","North America","Madison Area R Users Group",43.08,-89.39
"Milwaukee","United States","WI","North America","The Milwaukee Chapter of the ASA",43.0389,-87.90647
"Minneapolis","United States","MN","North America","Twin Cities R User Group",44.96,-93.27
"Montreal","Canada","","North America","Montreal R User Group",45.52,-73.57
"Nashville","United States","TN","North America","Nashville R user Group",36.17,-86.78
"Newark","United States","NJ","North America","NewJerseyR",40.72,-74.17
"Northampton","United States","MA","North America","Western Mass Data Science, Stats, and R",42.32509,-72.6412
"Orange County","United States","CA","North America","Orange County R User Group",33.71747,-117.83114
"Ottawa","Canada","","North America","Ottawa Gatineau R Users Group",45.42,-75.71
"Pasadena","United States","CA","North America","Research Methods and Analytics",34.14778,-118.14452
"Philadelphia","United States","PA","North America","Philadelphia UseR Group",39.95233,-75.16379
"Pittsburgh","United States","PA","North America","Pittsburgh useR Group",40.44,-79.98
"Portland","United States","OR","North America","Portland R User Group",45.52345,-122.67621
"Princeton","United States","NJ","North America","Central New Jersey R User Group",40.3573,-74.66722
"Quebec","Canada","","North America","Plein-R",52.93992,-73.54914
"Raleigh-Durham","United States","NC","North America","Raleigh-Durham-Chapel Hill R Users Group",35.77959,-78.63818
"Saint Louis","United States","MO","North America","Saint Louis R User Group",38.64,-90.24
"Salt Lake City","United States","UT","North America","University of Utah R Users Group",40.78,-111.93
"San Antonio","United States","TX","North America","Alamo City R Users Group",29.42412,-98.49363
"Santa Barbara","United States","CA","North America","Santa Barbara R Users",34.42083,-119.69819
"Seattle","United States","WA","North America","Seattle UseR Group",47.62,-122.35
"Stamford","United States","CT","North America","Connecticut R Users Group",41.05343,-73.53873
"Vancouver","Canada","","North America","Vancouver R User's Group",49.28,-123.13
"Washington DC","United States","DC","North America","Statistical Programming DC",38.90719,-77.03687
"Adelaide","Australia","SA","Oceania","Adelaide R-users Group",-34.93,138.6
"Auckland","New Zealand","","Oceania","Auckland-R-Users-Group (AKLRUG)",-36.85,174.76
"Canberra","Australia","ACT","Oceania","Canberra R Users Group (CANRUG)",-35.31,149.13
"Hobart","Australia","TAS","Oceania","Hobart R Users Group (HRUG)",-42.85,147.29
"Melbourne","Australia","VIC","Oceania","Melbourne Users of R Network (MelbURN)",-37.81,144.96
"Sydney","Australia","NSW","Oceania","Sydney Users of R Forum (SURF)",-33.87,151.21
"Wellington","New Zealand","","Oceania","Wellington R Users Group (WRUG)",-41.28646,174.77624
"Buenos Ares","Argentia","","South or Central America","AR",-34.60372,-58.38159
"Managua","Nicaragua","","South or Central America","Usuarios R Nicaragua",12.15,-86.27
"Santiago","Chile","","South or Central America","Grupo de Usuarios de R en Chile",-33.46912,-70.642
"Sao Paulo","Brazil","","South or Central America","R-br: the Brazilian R-community",-23.53,-46.63
"Miami","United States","FL","North America","South Florida User Group",25.78,-80.21
"Hilo","United States","HI","North America","East Hawaii R Users Group",19.7,-155.09
"Durham","United States","NH","North America","Hew Hampshire R Users Group (NH UseRs)",35.99403,-78.89862
"Albany","United States","NY","North America","Albany R Users Group",42.65258,-73.75623
"Charlotte","United States","NC","North America","Charlotte R Users Group",35.22709,-80.84313
"Cincinnati","United States","OH","North America","CinDay RUG",39.14,-84.51
